train,val,test
0.35,0.59,0.6
0.65,0.78,0.78
0.81,0.91,0.9
0.89,0.89,0.89
0.94,0.95,0.95
0.99,0.97,0.98
0.99,0.98,0.98
0.99,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
0.99,0.98,1.0
1.0,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
1.0,0.98,1.0
1.0,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
1.0,0.98,0.99
0.99,0.98,0.99
