train,val,test
0.17,0.18,0.18
0.19,0.18,0.18
0.29,0.44,0.42
0.45,0.53,0.53
0.55,0.69,0.7
0.71,0.68,0.71
0.75,0.82,0.82
0.9,0.89,0.9
0.92,0.9,0.89
0.92,0.92,0.92
0.94,0.92,0.92
0.94,0.92,0.93
0.95,0.93,0.93
0.95,0.92,0.93
0.96,0.93,0.94
0.97,0.93,0.93
0.97,0.93,0.94
0.97,0.93,0.94
0.97,0.93,0.94
0.97,0.93,0.93
0.97,0.93,0.94
0.97,0.93,0.94
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
0.97,0.93,0.93
