train,val,test
0.31,0.33,0.33
0.33,0.33,0.33
0.33,0.33,0.33
0.43,0.57,0.54
0.58,0.7,0.72
0.7,0.9,0.9
0.85,0.99,0.97
0.98,0.99,0.97
0.98,0.99,0.98
0.98,0.99,0.98
0.99,0.99,0.98
0.98,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
0.99,0.99,0.98
